objname,e_mod0,mod0,v_gsr,mod_mpc
PGC869197,0.024,37.518,23602.9,318.8599693
PGC994819,0.18,36.22,,175.3880502
PGC998264,0.09,36.95,22941.3,245.4708916
PGC1059326,0.54,34.16,2701.8,67.92036326
PGC1114283,0.022,36.492,13497.3,198.7925021
PGC1124612,0.12,37.77,31377.5,358.0964371
PGC1160052,0.12,37.11,27136.1,264.2408757
PGC1172545,0.12,37.54,32350.9,322.1068791
PGC1258718,0.061,35.507,8980.1,126.2990256
PGC1392929,0.038,35.903,10913.7,151.5653756
PGC1506233,0.041,35.632,8478.3,133.7827134
PGC1809186,0.346,35.066,9386.2,103.086074
PGC1824266,0.035,30.23,404.8,11.11731727
PGC2601822,0.2,28.66,253,5.395106225
PGC2793293,0.2,34.348,4478.2,74.06277837
PGC2798836,0.45,33.34,,46.55860935
PGC2798844,0.47,33.15,,42.65795188
PGC2798867,0.44,33.24,,44.46312675
PGC2801026,0.033,26.416,95.1,1.919552524
PGC2801052,0.2,28.34,229.7,4.655860935
PGC2802467,0.09,24.39,,0.755092228
PGC2802561,0.11,24.86,,0.937562007
PGC2802598,0.12,24.31,,0.727779805
PGC2802601,0.17,25.01,,1.00461579
PGC2802602,0.19,24.64,,0.847227414
PGC2807061,0.14,26.12,142.4,1.674942876
PGC2807102,0.17,28.286,239.3,4.541507126
PGC2807103,0.05,27.64,206.7,3.372873087
PGC2807133,0.107,27.86,,3.732501578
ANDROMEDA06,0.058,24.463,-168.9,0.78090823
PGC2807155,0.054,24.573,-96.1,0.821485685
PGC2807157,0.024,27.034,63,2.551526011
PGC2832111,0.224,30.699,,13.79748721
PGC3081460,0.154,36.579,12712.4,206.9188233
PGC3097690,0.2,28.891,275.4,6.000673539
PGC3097691,0.042,24.455,-24.1,0.778036551
PGC3097727,0.022,28.157,,4.279568675
ANDROMEDA05,0.059,24.39,-223.1,0.755092228
PGC3097827,0.029,27.859,-24.5,3.730783093
PGC3097828,0.02,27.747,,3.543235349
PGC3108973,0.12,38.58,48464.5,519.9959965
PGC3114934,0.11,37.85,35904.5,371.5352291
ESO252-001,0.2,29.11,,6.637430704
SDSSJ003709.59-011222.4,0.2,40.06,93153,1028.016298
2MASXJ03052260+0051346,0.11,38.03,35410.1,403.645393
SDSSJ205036.66-002115.2,0.14,39.94,77825.7,972.7472238
SDSSJ211531.80-002116.5,0.14,39.21,59325.4,695.0243176
2MASXJ00024910+0045055,0.12,37.28,26117.1,285.7590543
2MASXJ01415126-0052365,0.12,37.43,28073.9,306.1963434
2MASXJ01270614+1906587,0.03,36.1,13035.9,165.9586907
2MASXJ01454460-5605518,0.114,37.831,26264.9,368.2985423
2MASXJ03372260-3302350,0.112,35.733,11584.4,140.152226
2MASXJ09591870-1928233,0.098,34.18,3438.9,68.54882265
2MASXJ13524703+0518496,0.097,37.919,25156.6,383.5305825
SDSSJ212342.95-005035.0,0.03,37.2,18904.4,275.4228703
6dFJ0956376-092911,0.098,29.869,425.8,9.414559402
SDSSJ004632.24+005017.4,0.11,38.14,39238.7,424.6195639
SDSSJ010743.60-010222.1,0.11,38.79,52369.5,572.796031
SDSSJ012648.45-011417.3,0.04,37.03,17268.8,254.6830253
SDSSJ215558.49-010413.0,0.1,37.6,21706.3,331.1311215
APPLES1,0.5,29.6,651.9,8.317637711
GOODSJ123649.72+621313.4,0.25,41.39,142369,1896.705921
GOODSJ123655.57+621245.9,0.22,43.11,237250,4187.935651
ANDROMEDA17,0.057,24.349,-68,0.740968934
HIPASSJ1348-37,0.045,28.761,440.3,5.651971978
[RGK2003]J010858.96+000024.8,0.2,38.99,56131,628.0583588
PGC041782,0.081,31.119,1455.6,16.74171714
MS1008.1-1224:PPP001719,0.32,40.25,89756,1122.018454
CENTAURUSN,0.032,27.822,,3.667752316
[HS98]117,0.022,27.996,78.9,3.973745051
IKN,0.015,27.87,-34.5,3.749730022
SAGITTARIUS_DWARF_SPHEROIDAL,0.15,17.1,169,0.02630268
ANDROMEDA09,0.069,24.427,-32.8,0.768068581
CANES_VENATICI_DWARF,0.046,21.653,69.3,0.214091783
BOOTES2,0.06,18.1,-116.4,0.041686938
BOOTES1,0.067,19.096,108.8,0.065947753
UMA1,0.079,19.953,-7.3,0.097858826
UMA2,0.3,17.5,-33.2,0.031622777
SDSSJ1049+5103,0.335,18.108,35.4,0.041840802
COMA,0.088,18.152,81.8,0.042697259
CANES_VENATICI_2,0.054,21.003,-95.4,0.158708432
HERCULES,0.118,20.801,144.8,0.144610557
LEO4,0.06,20.957,10.2,0.155381747
BOOTES3,0.01,18.35,240.1,0.046773514
LEO5,0.12,21.25,58.7,0.177827941
SEGUE2,0.082,17.727,42.3,0.035107508
WMMA080,0.14,37.21,10931.1,276.6941645
[CKT2009]D0939+71,0.157,27.83,,3.681289736
ANDROMEDA18,0.048,25.594,-134.7,1.314619288
ANDROMEDA19,0.147,24.827,67.6,0.923421538
ANDROMEDA20,0.142,24.362,,0.745418213
ANDROMEDA10,0.077,24.046,8,0.644465985
ANDROMEDA14,0.291,24.369,-325.9,0.747825035
ANDROMEDA11,0.051,24.332,-296.8,0.735190692
ANDROMEDA12,0.143,24.625,-393,0.841395142
ANDROMEDA13,0.054,24.618,-24.5,0.838687171
ANDROMEDA16,0.045,23.707,-211.3,0.551315243
[CKT2009]D0934+70,0.251,27.4,,3.01995172
[CKT2009]D0944+69,0.156,27.911,,3.821202032
[CKT2009]D0955+70,0.191,27.69,,3.451437393
[CKT2009]D1006+67,0.075,27.793,,3.619095139
[CKT2009]D1014+68,0.11,27.92,,3.837072455
[CKT2009]D1041+70,0.087,27.84,,3.698281798
[CKT2009]D0926+70,0.078,27.66,,3.404081897
[CKT2009]D0944+71,0.042,27.677,76.5,3.430836328
[CKT2009]D1015+69,0.121,27.96,,3.908408958
PISCES2,0.2,21.3,-75.4,0.181970086
SEGUE3,0.083,16.133,35.7,0.016850004
DDO169NW,0.13,28.18,324.4,4.32513831
SCL-DE1_GC1,0.12,28.17,,4.305266105
[KKH2007]J1219+4705,0.322,30.485,,12.5025903
ANDROMEDA23,0.057,24.36,-85.4,0.744731974
ANDROMEDA24,0.1,24.77,,0.899497582
ANDROMEDA25,0.141,24.496,81,0.792866375
ANDROMEDA26,0.117,24.409,,0.76172814
ANDROMEDA27,0.158,24.602,-355,0.832530207
ANDROMEDA21,0.07,24.608,-163.6,0.834833754
ANDROMEDA22,0.07,24.66,3.2,0.855066713
ALFAZOAJ1952+1428,0.099,29.62,467.3,8.394599865
GALAXY,0.039,14.571,,0.008207294
ANDROMEDA30,0.26,24.17,48.1,0.682338694
CANIS_MAJOR_DWARF,0.12,14.406,,0.007606765
[QQH97]J234014.21+261211.8,0.039,36.146,10374.2,169.5118252
[HM92c]230149-3736.8,0.043,38.425,30279.4,484.1723676
SCPJ110136.37-060631.6,0.04,36.548,11841.2,203.98583
NSFJ235412.09+272432.3,0.03,35.25,7372.7,112.2018454
NSFJ022743.32+281037.6,0.04,35.81,10560.7,145.2111618
SDSSJ121438.73+121347.7,0.09,37.556,19124.8,324.4890157
SDSSJ010934.78+004215.9,0.236,34.258,60030.1,71.05587634
ANDROMEDA31,0.12,24.4,15.9,0.758577575
ANDROMEDA32,0.14,24.45,-181.3,0.776247117
SKHV302,0.1,24.23,,0.701455298
SKHV108,0.57,24.4,,0.758577575
[SVA2008]M33EC1,0.15,24.75,-18.7,0.891250938
ANDROMEDA33,0.18,24.49,-216.1,0.790678628
GHOSTS1,0.335,30.396,,12.0005182
IC3032,0.075,30.866,1122.5,14.90047112
M101DF1,0.12,29.02,,6.367955209
M101DF3,0.085,29.07,,6.516283941
M101DF2,0.075,29.19,,6.886522963
PGC039331,0.053,31.279,-36.8,18.02187612
SCLMMDW1,0.32,27.98,,3.944573021
SDSSJ121551.05+473256.1,0.262,30.341,,11.70038089
[LLH2012]41,0.044,31.315,,18.32314422
PGC5067952,0.36,41.65,,2137.96209
PGC5067955,0.1,41.77,,2259.43577
PGC5067979,0.13,38.82,,580.7644175
PGC5067980,0.16,40.32,,1158.777356
PGC5068230,0.051,35.626,9474.5,133.4135683
H-ZSNSJ022853.88+011624.2,0.24,43.44,,4875.284901
SCPJ140159.90+050459.6,0.2,43.85,,5888.436554
SCPJ135711.96+042026.9,0.14,43.52,,5058.24662
SDSSJ021705.50+001649.0,0.11,38.58,81555.8,519.9959965
SDSSJ212139.25+005340.7,0.22,40.42,89440.2,1213.38885
SDSSJ213511.76+000947.1,0.14,39.81,79025.9,916.2204901
SDSSJ221927.32+002939.9,0.14,39.58,65230.7,824.138115
SDSSJ000758.69+003817.4,0.13,40.06,,1028.016298
SDSSJ211120.85-002643.3,0.12,38.55,42954.6,512.861384
SDSSJ204721.99-011511.8,0.15,39.49,,790.678628
SDSSJ204810.37-011017.1,0.11,38.46,,492.0395357
SDSSJ204853.05+001128.0,0.12,37.46,,310.4559588
SDSSJ002713.69+010714.2,0.16,39.84,64061.3,928.9663868
SDSSJ020452.97-001935.2,0.17,40.59,,1312.199899
SDSSJ024204.98-003226.9,0.12,38.92,54113.1,608.1350013
SDSSJ225648.34+002403.9,0.15,40.13,87227.7,1061.695557
SDSSJ032021.70-005308.0,0.13,39.24,,704.693069
SDSSJ220341.21+003410.3,0.12,38.08,,413.047502
SDSSJ012137.62-005838.0,0.11,38.69,49672.9,547.0159629
SDSSJ015951.03+003826.2,0.12,38.65,,537.0317964
SDSSJ021814.72+004747.6,0.12,39.3,63923,724.4359601
SDSSJ221616.63+004229.2,0.13,39.56,75045.1,816.5823714
SDSSJ221841.16+003821.1,0.12,39.54,69446.4,809.0958992
SDSSJ011049.19+010028.4,0.14,39.83,,924.6981739
SDSSJ033348.97+004233.6,0.2,40.89,,1506.607066
SDSSJ033637.49+010445.0,0.13,39.49,,790.678628
SDSSJ221310.25+010302.0,0.13,40.06,,1028.016298
SDSSJ020403.84-002157.0,0.17,40.12,83277.7,1056.817509
SDSSJ004857.05-005420.6,0.16,40.51,,1264.736347
SDSSJ023354.13+001650.6,0.17,40.67,109014,1361.444682
SDSSJ233759.60+003831.6,0.14,40.03,,1013.911386
SDSSJ235932.26+004413.8,0.11,38.59,48670.9,522.396189
SDSSJ012606.80+004036.8,0.15,40.33,,1164.126029
SDSSJ205019.78-004931.0,0.21,41.02,,1599.558029
SDSSJ031833.83+000724.1,0.11,38.05,,407.3802778
SDSSJ032922.06-010540.9,0.15,40.13,,1061.695557
SDSSJ205024.61-001004.4,0.12,39.11,,663.7430704
SDSSJ221243.86-000205.7,0.13,39.37,,748.1695005
SDSSJ000928.47+010917.7,0.21,41.13,123355,1682.674061
SDSSJ001300.13+001453.6,0.11,38.04,36447,405.5085354
SDSSJ001423.59+001959.0,0.11,38.63,46951.3,532.1082593
SDSSJ011135.03-000021.2,0.12,40.03,,1013.911386
SDSSJ215108.69-005034.6,0.14,40.31,,1153.453258
SDSSJ231633.32-003947.5,0.11,39.09,56019.5,657.6578374
SDSSJ021902.54-001622.2,0.13,40.06,84068.1,1028.016298
SDSSJ000713.58+002056.3,0.13,39.87,,941.8895965
SDSSJ001303.73-003712.5,0.14,40.2,88560.9,1096.478196
SDSSJ213115.60-010325.2,0.15,40.48,93423.6,1247.383514
SDSSJ010445.70+003050.1,0.18,40.19,92802.4,1091.440336
SDSSJ204155.88+010531.2,0.13,39.79,,907.8205302
SDSSJ212451.95+002308.2,0.21,41.2,,1737.800829
SDSSJ215216.47+001601.5,0.13,39.15,,676.0829754
SDSSJ235552.64+005237.2,0.14,40.26,,1127.197456
SDSSJ223603.21-002204.5,0.16,39.9,,954.992586
SDSSJ004524.41+010432.1,0.12,39.26,,711.2135137
SDSSJ021706.20+003205.4,0.14,40.3,,1148.153621
SDSSJ001718.34-001526.1,0.12,39.49,,790.678628
SDSSJ205644.66+002430.0,0.2,41.16,,1706.082389
SDSSJ213256.12-004159.2,0.12,39.02,54173.8,636.7955209
