Objectname,distance_modulus,v_gsr,distance_mpc
PGC3116657,37.25,25977,281.8382931
PGC3116670,37.59,22950.3,329.6097122
UGC00866,31.863,1803.2,23.58305153
NGC0497,35.255,8193.1,112.4604974
PGC1183727,37.57,28268.3,326.5878322
NGC2410,33.97,4648.6,62.23002852
PGC090796,35.65,8527.9,134.8962883
PGC090801,33.97,3863.3,62.23002852
PGC090803,34.521,5284.5,80.20473348
PGC090806,35.15,6031.2,107.1519305
PGC023374,34.887,4144.3,94.92923914
UGC04386,34.198,4550.4,69.11940644
IC2348,35.183,5889.4,108.7927613
PGC024286,35.524,8118,127.2916746
PGC025005,35.275,7484,113.5010816
UGC04753,32.28,1851.5,28.57590543
UGC04906,32.79,2317.6,36.14098626
UGC05354,32.588,1195.9,32.93062702
PGC029953,35.332,7367.3,116.5198723
UGC05542,35.77,9255,142.5607594
UGC05707,31.36,2817.8,18.7068214
PGC031552,35.148,6839.2,107.0532854
SDSSJ103928.53+051101.1,37.779,20202.8,359.5837026
UGC06015,36.515,12460.1,200.9092813
PGC033043,35.187,6684.7,108.9933497
UGC06309,32.764,2910.1,35.71083458
NGC3625,32.788,2020.1,36.10771451
NGC3669,31.839,1830.8,23.32383713
PGC1676859,35.9,9370.8,151.3561248
NGC3683,32.538,1785.6,32.18103443
NGC4172,35.672,9404.8,136.2699197
NGC4200,31.92,2279.7,24.21029047
NGC4292,29.88,2177.2,9.462371614
PGC1875560,31.106,909.4,16.64178857
IC3284,35.787,7784.9,143.6812177
IC3388,30.98,1655.5,15.70362804
NGC4493,34.954,6830.1,97.90390174
NGC4545,32.741,2778.1,35.33458541
NGC4668,30.96,1537.4,15.55965632
UGC07941,33.272,2421.4,45.12321133
PGC092948,36.41,13620.8,191.4255925
PGC044159,34.889,7308.7,95.01671248
PGC083669,33.349,7787.8,46.75197909
PGC083670,35.43,6132.3,121.8989599
PGC083671,34.363,6567.4,74.57615702
PGC083675,35.907,8352.2,151.8448266
PGC083681,35.167,7255.4,107.9940927
PGC083682,33.682,7157.1,54.50043893
PGC083684,33.051,7450.1,40.75679266
PGC083688,34.327,8182.5,73.34998004
PGC083695,32.918,6144.2,38.33540008
PGC083696,33.905,6424.9,60.39486294
PGC083703,35.021,7318.1,100.9717771
PGC083716,34.27,7194.5,71.44963261
PGC044440,35.043,5463.8,101.9999597
PGC044467,35.113,7160.2,105.3416217
PGC044469,35.689,6928.7,137.3409351
PGC083720,34.847,7032.7,93.19658526
PGC083727,34.982,7020.8,99.17449552
PGC044519,33.102,6952.4,41.72535112
PGC083729,35.038,6023.3,101.7653663
PGC044546,36.081,7045.8,164.5129159
PGC044547,35.185,6417.8,108.8930093
IC3955,34.959,7681,98.12959355
PGC044562,35.214,5751.3,110.357029
IC3963,34.696,6839.7,86.93606925
PGC044573,35.102,9477.1,104.8093433
PGC044576,34.286,6072.8,71.97803728
2MASXJ12592407+2820498,37.742,20313.6,353.5086134
IC3976,35.658,6802.3,135.3941811
PGC044629,34.984,7600.4,99.26588069
PGC083734,35.229,6268.3,111.1219874
PGC044636,35.597,6831.4,131.6436757
PGC083733,34.864,6984.3,93.92906516
NGC4875,35.178,8022.4,108.5425449
PGC044649,35.514,6913.5,126.7068225
PGC044652,33.986,6919.2,62.69024975
PGC044667,33.931,8403.4,61.12234389
PGC044679,35.237,7579.5,111.532131
PGC044675,35.242,7720.9,111.7892391
PGC044699,34.607,6586.4,83.44493871
IC4012,34.907,7251.8,95.80760857
PGC044723,34.586,7519.6,82.64184417
IC4021,34.918,5747.7,96.2941713
PGC083746,34.446,5900.3,77.48185328
IC4026,34.573,8190.4,82.14856851
PGC083747,34.83,7791.9,92.46981739
NGC4896,34.668,5971.3,85.82227051
PGC083750,34.05,8210.5,64.5654229
PGC044784,33.876,5476.8,59.59365193
PGC044815,34.089,6613.3,65.73550445
PGC083752,35.245,8126.4,111.9437883
PGC083753,33.935,6915.2,61.23503917
PGC083754,33.526,7565.9,50.72242399
PGC083755,35.29,7619.1,114.2878335
NGC4923,35,5478.3,100
PGC083757,34.013,8243.6,63.47460398
PGC083759,34.992,7292,99.6322642
PGC083760,34.714,5751.5,87.65970403
PGC083762,34.854,8664.9,93.49750031
PGC083764,35.194,5983,109.3452697
PGC083766,34.525,7620.6,80.35261222
PGC045023,33.553,7430.2,51.35704178
NGC4929,35.426,6240.6,121.6746204
PGC045032,34.239,8224.4,70.43686205
PGC094012,35.16,8385.5,107.6465214
PGC045498,36.03,10126.4,160.6941253
UGC08317,34.395,6068.3,75.6832895
PGC046640,35.891,10294.6,150.7301044
IC0902,32.213,1713.6,27.70766958
PGC048783,35.091,7179.8,104.2797545
UGC08742,32.25,2332.6,28.18382931
NGC5313,33.36,2616.8,46.98941086
NGC5337,33.51,2204.2,50.35006088
UGC09245,31.146,2017.9,16.95118252
NGC5630,32.423,2771.4,30.52108722
NGC5698,34.019,3734.2,63.65023332
UGC09556,33.71,2462.2,55.20774393
UGC09612,35.98,10962.8,157.0362804
UGC09638,32.63,2426.7,33.57376142
PGC214352,35.85,10112.1,147.9108388
PGC053805,34.72,14906.5,87.90225168
UGC09703,32.29,2635.9,28.70780582
IC1125,32.337,2814.5,29.33593941
PGC2085703,38.269,28568,450.6091436
UGC10244,35.761,10011.2,141.9711172
NGC6195,35.812,9158.6,145.3449678
PGC2172338,35.302,8073.5,114.9211597
PGC1188501,36.54,14970.1,203.2357011
NGC7112,34.264,6035.7,71.25248248
PGC999654,36.193,15072,173.220784
UGC09682,32.94,1823.3,38.72576449
UGC08282,33.445,2176.5,48.86523593
PGC1154577,36.43,18909.9,193.1968317
PGC1130011,36.65,20081.1,213.796209
PGC1808334,35,9760.6,100
SDSSJ224142.05-000812.9,36.88,17484.6,237.6840287
UGC05798,32.593,1573,33.00653995
NGC4081,31.332,1605.2,18.46715524
PGC2078048,35.399,6160.8,120.1710899
PGC1154145,35.67,13748.8,136.1444682
PGC1161680,36.6,19671.9,208.9296131
IC4567,34.005,5866.5,63.24118514
UGC09056,32.047,2149.3,25.66847102
NGC4993,33.187,2801.5,43.39103406
NGC4080,31.06,542.4,16.29296033
UGC04754,34.39,5458.7,75.50922277
IC3442,31.118,1198,16.73400907
IC3019,31.145,1615.3,16.943378
UGC07854,30.978,913.7,15.68917113
UGC07399A,31.15,1371.1,16.98243652
PGC765572,36.385,13281.3,189.2343619
NGC1201,31.535,1597,20.2768272
PGC869197,37.518,23602.9,318.8599693
PGC994819,36.22,,175.3880502
PGC998264,36.95,22941.3,245.4708916
PGC1059326,34.16,2701.8,67.92036326
PGC1114283,36.492,13497.3,198.7925021
PGC1124612,37.77,31377.5,358.0964371
PGC1160052,37.11,27136.1,264.2408757
PGC1172545,37.54,32350.9,322.1068791
PGC1258718,35.507,8980.1,126.2990256
PGC1392929,35.903,10913.7,151.5653756
PGC1506233,35.632,8478.3,133.7827134
PGC1809186,35.066,9386.2,103.086074
PGC1824266,30.23,404.8,11.11731727
PGC2601822,28.66,253,5.395106225
PGC2793293,34.348,4478.2,74.06277837
PGC2798836,33.34,,46.55860935
PGC2798844,33.15,,42.65795188
PGC2798867,33.24,,44.46312675
PGC2801026,26.416,95.1,1.919552524
PGC2801052,28.34,229.7,4.655860935
PGC2802467,24.39,,0.755092228
PGC2802561,24.86,,0.937562007
PGC2802598,24.31,,0.727779805
PGC2802601,25.01,,1.00461579
PGC2802602,24.64,,0.847227414
PGC2807061,26.12,142.4,1.674942876
PGC2807102,28.286,239.3,4.541507126
PGC2807103,27.64,206.7,3.372873087
PGC2807133,27.86,,3.732501578
ANDROMEDA06,24.463,-168.9,0.78090823
PGC2807155,24.573,-96.1,0.821485685
PGC2807157,27.034,63,2.551526011
PGC2832111,30.699,,13.79748721
PGC3081460,36.579,12712.4,206.9188233
PGC3097690,28.891,275.4,6.000673539
PGC3097691,24.455,-24.1,0.778036551
PGC3097727,28.157,,4.279568675
ANDROMEDA05,24.39,-223.1,0.755092228
PGC3097827,27.859,-24.5,3.730783093
PGC3097828,27.747,,3.543235349
PGC3108973,38.58,48464.5,519.9959965
PGC3114934,37.85,35904.5,371.5352291
ESO252-001,29.11,,6.637430704
SDSSJ003709.59-011222.4,40.06,93153,1028.016298
2MASXJ03052260+0051346,38.03,35410.1,403.645393
SDSSJ205036.66-002115.2,39.94,77825.7,972.7472238
SDSSJ211531.80-002116.5,39.21,59325.4,695.0243176
2MASXJ00024910+0045055,37.28,26117.1,285.7590543
2MASXJ01415126-0052365,37.43,28073.9,306.1963434
2MASXJ01270614+1906587,36.1,13035.9,165.9586907
2MASXJ01454460-5605518,37.831,26264.9,368.2985423
2MASXJ03372260-3302350,35.733,11584.4,140.152226
2MASXJ09591870-1928233,34.18,3438.9,68.54882265
2MASXJ13524703+0518496,37.919,25156.6,383.5305825
SDSSJ212342.95-005035.0,37.2,18904.4,275.4228703
6dFJ0956376-092911,29.869,425.8,9.414559402
SDSSJ004632.24+005017.4,38.14,39238.7,424.6195639
SDSSJ010743.60-010222.1,38.79,52369.5,572.796031
SDSSJ012648.45-011417.3,37.03,17268.8,254.6830253
SDSSJ215558.49-010413.0,37.6,21706.3,331.1311215
APPLES1,29.6,651.9,8.317637711
GOODSJ123649.72+621313.4,41.39,142369,1896.705921
GOODSJ123655.57+621245.9,43.11,237250,4187.935651
ANDROMEDA17,24.349,-68,0.740968934
HIPASSJ1348-37,28.761,440.3,5.651971978
[RGK2003]J010858.96+000024.8,38.99,56131,628.0583588
PGC041782,31.119,1455.6,16.74171714
MS1008.1-1224:PPP001719,40.25,89756,1122.018454
CENTAURUSN,27.822,,3.667752316
[HS98]117,27.996,78.9,3.973745051
IKN,27.87,-34.5,3.749730022
SAGITTARIUS_DWARF_SPHEROIDAL,17.1,169,0.02630268
ANDROMEDA09,24.427,-32.8,0.768068581
CANES_VENATICI_DWARF,21.653,69.3,0.214091783
BOOTES2,18.1,-116.4,0.041686938
BOOTES1,19.096,108.8,0.065947753
UMA1,19.953,-7.3,0.097858826
UMA2,17.5,-33.2,0.031622777
SDSSJ1049+5103,18.108,35.4,0.041840802
COMA,18.152,81.8,0.042697259
CANES_VENATICI_2,21.003,-95.4,0.158708432
HERCULES,20.801,144.8,0.144610557
LEO4,20.957,10.2,0.155381747
BOOTES3,18.35,240.1,0.046773514
LEO5,21.25,58.7,0.177827941
SEGUE2,17.727,42.3,0.035107508
WMMA080,37.21,10931.1,276.6941645
[CKT2009]D0939+71,27.83,,3.681289736
ANDROMEDA18,25.594,-134.7,1.314619288
ANDROMEDA19,24.827,67.6,0.923421538
ANDROMEDA20,24.362,,0.745418213
ANDROMEDA10,24.046,8,0.644465985
ANDROMEDA14,24.369,-325.9,0.747825035
ANDROMEDA11,24.332,-296.8,0.735190692
ANDROMEDA12,24.625,-393,0.841395142
ANDROMEDA13,24.618,-24.5,0.838687171
ANDROMEDA16,23.707,-211.3,0.551315243
[CKT2009]D0934+70,27.4,,3.01995172
[CKT2009]D0944+69,27.911,,3.821202032
[CKT2009]D0955+70,27.69,,3.451437393
[CKT2009]D1006+67,27.793,,3.619095139
[CKT2009]D1014+68,27.92,,3.837072455
[CKT2009]D1041+70,27.84,,3.698281798
[CKT2009]D0926+70,27.66,,3.404081897
[CKT2009]D0944+71,27.677,76.5,3.430836328
[CKT2009]D1015+69,27.96,,3.908408958
PISCES2,21.3,-75.4,0.181970086
SEGUE3,16.133,35.7,0.016850004
DDO169NW,28.18,324.4,4.32513831
SCL-DE1_GC1,28.17,,4.305266105
[KKH2007]J1219+4705,30.485,,12.5025903
ANDROMEDA23,24.36,-85.4,0.744731974
ANDROMEDA24,24.77,,0.899497582
ANDROMEDA25,24.496,81,0.792866375
ANDROMEDA26,24.409,,0.76172814
ANDROMEDA27,24.602,-355,0.832530207
ANDROMEDA21,24.608,-163.6,0.834833754
ANDROMEDA22,24.66,3.2,0.855066713
ALFAZOAJ1952+1428,29.62,467.3,8.394599865
GALAXY,14.571,,0.008207294
ANDROMEDA30,24.17,48.1,0.682338694
CANIS_MAJOR_DWARF,14.406,,0.007606765
[QQH97]J234014.21+261211.8,36.146,10374.2,169.5118252
[HM92c]230149-3736.8,38.425,30279.4,484.1723676
SCPJ110136.37-060631.6,36.548,11841.2,203.98583
NSFJ235412.09+272432.3,35.25,7372.7,112.2018454
NSFJ022743.32+281037.6,35.81,10560.7,145.2111618
SDSSJ121438.73+121347.7,37.556,19124.8,324.4890157
SDSSJ010934.78+004215.9,34.258,60030.1,71.05587634
ANDROMEDA31,24.4,15.9,0.758577575
ANDROMEDA32,24.45,-181.3,0.776247117
SKHV302,24.23,,0.701455298
SKHV108,24.4,,0.758577575
[SVA2008]M33EC1,24.75,-18.7,0.891250938
ANDROMEDA33,24.49,-216.1,0.790678628
GHOSTS1,30.396,,12.0005182
IC3032,30.866,1122.5,14.90047112
M101DF1,29.02,,6.367955209
